KPI Examples	VERWALTUNGSINDIKATOREN (KPI)	BESCHREIBUNG	FORMEL & KALKULATION	Wichtig	Links
○Customer & Produkt Analysekennzahlen	Kundenanalysekennzahlen				
○Customer & Produkt Analysekennzahlen	Kundenlebenswert (CLV)	Durchschnittliche Einnahmen pro Kunde über ihre Lebensdauer.	Durchschnittlicher Kaufwert × Kauf Frequenz × Kundenlebensdauer	Hoch	Link
○Customer & Produkt Analysekennzahlen	Kundenretention Rate	Prozentsatz der Kunden, die über einen bestimmten Zeitraum zurückgehalten werden.	((Endkunden - Neue Kunden) ÷ Start Kunden) × 100	Hoch	Link
○Customer & Produkt Analysekennzahlen	Zollsatz	Prozentsatz der Kunden, die während eines bestimmten Zeitraums verloren gingen.	(Kunden verloren ÷ Gesamtkunden) × 100	Hoch	Link
○Customer & Produkt Analysekennzahlen	Net Promoter Score (NPS)	Messt Kundenbindung und Wahrscheinlichkeit, die Marke zu empfehlen.	% Promoter - % Detractors	Hoch	Link
○Customer & Produkt Analysekennzahlen	Durchschnittliche Umsatz pro Nutzer (ARPU)	Einnahmen pro Benutzer im Durchschnitt während eines bestimmten Zeitraums generiert.	Gesamtumsatz ÷ Gesamtbenutzer	Mittel	Link
○Customer & Produkt Analysekennzahlen	Wiederholen Kaufpreis	Prozentsatz der Kunden, die einen Wiederverkauf tätigen.	(Repeat Kunden ÷ Gesamtkunden) × 100	Mittel	Link
○Customer & Produkt Analysekennzahlen	Kundenzufriedenheits-Score (CSAT)	Messt Kundenzufriedenheit basierend auf Umfrage-Feedback.	Gesamte positive Antworten ÷ Gesamte Antworten × 100	Hoch	Link
○Customer & Produkt Analysekennzahlen	Kundenbeschaffungskosten (CAC)	Kosten für den Erwerb eines einzelnen Kunden.	Total Marketing Spend ÷ Neue Kunden Erworben	Hoch	Link
○Customer & Produkt Analysekennzahlen	Kohorte Retentionsrate	Retentionsrate bestimmter Benutzergruppen (Kohorten) im Laufe der Zeit.	(Cohort Retained Users ÷ Cohort Total Users) × 100	Hoch	Link
○Customer & Produkt Analysekennzahlen	Aktive Nutzer	Gesamtzahl der Nutzer, die sich aktiv mit Ihrem Produkt/Service engagieren.	Zur Verfügung gestellt von Analysetools (z.B. Google Analytics, Mixpanel).	Hoch	
○Customer & Produkt Analysekennzahlen	Monatliche wiederkehrende Einnahmen (MRR)	Insgesamt prognostizierbare Einnahmen, die monatlich von Kunden generiert werden.	Monatliche Abonnenten insgesamt × Durchschnittliche Einnahmen pro Benutzer	Hoch	Link
○Customer & Produkt Analysekennzahlen	Erstattungssatz	Prozentsatz der von den Kunden zurückerstatteten Aufträge.	(Refunded Orders ÷ Total Orders) × 100\t	Niedrig	Link
○Customer & Produkt Analysekennzahlen	Nettoeinkommensretention (NRR)	Maßnahmen, die von bestehenden Kunden über einen Zeitraum zurückgehalten werden.	(Revenue Retained + Expansion Revenue - Churned Revenue) ÷ Anfang Umsatz × 100	Hoch	Link
○Customer & Produkt Analysekennzahlen	Kundenbindungspunkte	Kombiniert Produktnutzung, Interaktionen und Feedback in eine einzelne Partitur.	Berechnet mit angriffsspezifischen Metriken	Mittel	Link
